id,date,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities
1761,4/18/10,Chapelton,9.53953,,18.1437,-77.331,"(18.143699999999999, -77.331000000000003)",Landslide,Landslide,Medium,Downpour,,,0
1762,4/18/10,May Pen,0.56186,,17.9693,-77.2433,"(17.9693, -77.243300000000005)",Landslide,Landslide,Medium,Downpour,,,0
1763,4/18/10,Buff Bay,2.78885,,18.2106,-76.6735,"(18.210599999999999, -76.673500000000004)",Landslide,Landslide,Medium,Downpour,,,0
1764,4/18/10,Port Antonio,4.46942,,18.1865,-76.5029,"(18.186499999999999, -76.502899999999997)",Landslide,Landslide,Medium,Downpour,,,0
1784,4/25/10,Clifton,10.07129,,35.2995,-87.966,"(35.299500000000002, -87.965999999999994)",Landslide,Landslide,Medium,Downpour,,,0
1786,4/27/10,Ángeles,19.51432,,10.1452,-83.9564,"(10.145200000000001, -83.956400000000002)",Landslide,Landslide,Medium,Downpour,,,0
1804,05/02/2010,Morehead,10.11538,,38.1107,-83.5013,"(38.110700000000001, -83.501300000000001)",Landslide,Mudslide,Small,Downpour,,,0
1805,05/02/2010,Salyersville,9.51647,,37.7806,-82.9667,"(37.7806, -82.966700000000003)",Landslide,Landslide,Medium,Downpour,,,0
1806,05/02/2010,Belle Meade,4.06928,,36.0739,-86.8931,"(36.073900000000002, -86.893100000000004)",Landslide,Landslide,Small,Downpour,,,0
1807,05/02/2010,Forest Hills,5.92638,,36.0242,-86.8811,"(36.0242, -86.881100000000004)",Landslide,Landslide,Small,Downpour,,,0
1808,05/02/2010,Fairview,11.67837,,35.9862,-86.992,"(35.986199999999997, -86.992000000000004)",Landslide,Landslide,Medium,Downpour,,,0
1809,05/02/2010,Brentwood Estates,6.61569,,35.9778,-86.8239,"(35.977800000000002, -86.823899999999995)",Landslide,Landslide,Medium,Downpour,,,0
1810,05/02/2010,Columbia,15.51031,,35.7322,-87.1288,"(35.732199999999999, -87.128799999999998)",Landslide,Landslide,Medium,Downpour,,,0
1814,05/03/2010,Hindman,7.91631,,37.2648,-82.9738,"(37.264800000000001, -82.973799999999997)",Landslide,Mudslide,Small,Downpour,,,0
1815,05/03/2010,Hyden,0.00435,,37.1609,-83.3732,"(37.160899999999998, -83.373199999999997)",Landslide,Mudslide,Small,Downpour,,,0
1816,05/03/2010,Cumberland,18.27072,,37.034,-83.1816,"(37.033999999999999, -83.181600000000003)",Landslide,Mudslide,Small,Downpour,,,0
1817,05/03/2010,Pineville,5.84944,,36.7411,-83.6348,"(36.741100000000003, -83.634799999999998)",Landslide,Mudslide,Medium,Downpour,,,0
1818,05/03/2010,Paintsville,13.47073,,37.9065,-82.907,"(37.906500000000001, -82.906999999999996)",Landslide,Mudslide,Small,Downpour,,,0
1819,05/03/2010,Inez,7.32052,,37.9135,-82.4804,"(37.913499999999999, -82.480400000000003)",Landslide,Mudslide,Small,Downpour,,,0
1820,05/03/2010,Williamson,15.29574,,37.7939,-82.3635,"(37.793900000000001, -82.363500000000002)",Landslide,Mudslide,Small,Downpour,,,0
1821,05/03/2010,Inez,9.90252,,37.796,-82.4698,"(37.795999999999999, -82.469800000000006)",Landslide,Mudslide,Small,Downpour,,,0
1822,05/03/2010,Hazard,12.3417,,37.2283,-83.0567,"(37.228299999999997, -83.056700000000006)",Landslide,Mudslide,Small,Downpour,,,0
1823,05/03/2010,Hindman,10.50499,,37.4083,-82.904,"(37.408299999999997, -82.903999999999996)",Landslide,Mudslide,Small,Downpour,,,0
1824,05/03/2010,Hindman,21.31051,,37.3685,-82.7434,"(37.368499999999997, -82.743399999999994)",Landslide,Rockfall,Small,Downpour,,,0
1825,05/03/2010,Cumberland,1.09107,,36.9828,-82.9777,"(36.982799999999997, -82.977699999999999)",Landslide,Mudslide,Small,Downpour,,,0
1826,05/03/2010,Cumberland,16.31604,,37.0945,-83.1006,"(37.094499999999996, -83.1006)",Landslide,Mudslide,Small,Downpour,,,0
1827,05/03/2010,Gilbert Creek,18.71035,,37.5339,-82.0999,"(37.533900000000003, -82.099900000000005)",Landslide,Mudslide,Small,Downpour,,,0
